home,away,home_mov,home_location,away_location
Cleveland Cavaliers,New York Knicks,7,"[-81.6943605 41.49932, 0]","[-74.0059728 40.7127753, 0]"
Dallas Mavericks,Atlanta Hawks,7,"[-96.7969879 32.7766642, 0]","[-84.3879824 33.7489954, 0]"
Golden State Warriors,Toronto Raptors,-20,"[-122.4194155 37.7749295, 0]","[-79.3831843 43.653226, 0]"
Indiana Pacers,Milwaukee Bucks,16,"[-86.1349019 40.2671941, 0]","[-87.9064736 43.0389025, 0]"
Memphis Grizzlies,Portland Trail Blazers,9,"[-90.0489801 35.1495343, 0]","[-122.6750261 45.5051064, 0]"
New Orleans Pelicans,Oklahoma City Thunder,4,"[-90.0715323 29.9510658, 0]","[-97.5164276 35.4675602, 0]"
Philadelphia 76ers,Brooklyn Nets,-3,"[-75.1652215 39.9525839, 0]","[-73.9441579 40.6781784, 0]"
Sacramento Kings,Minnesota Timberwolves,11,"[-121.4943996 38.5815719, 0]","[-94.6858998 46.729553, 0]"
Utah Jazz,Miami Heat,27,"[-111.0937311 39.3209801, 0]","[-80.1917902 25.7616798, 0]"
Washington Wizards,Boston Celtics,-5,"[-77.0368707 38.9071923, 0]","[-71.0588801 42.3600825, 0]"
Houston Rockets,Los Angeles Lakers,15,"[-95.3698028 29.7604267, 0]","[-118.2436849 34.0522342, 0]"
Orlando Magic,Chicago Bulls,6,"[-81.3792365 28.5383355, 0]","[-87.6297982 41.8781136, 0]"
Phoenix Suns,Dallas Mavericks,10,"[-112.0740373 33.4483771, 0]","[-96.7969879 32.7766642, 0]"
San Antonio Spurs,Los Angeles Clippers,38,"[-98.4936282 29.4241219, 0]","[-118.2436849 34.0522342, 0]"
Boston Celtics,Atlanta Hawks,21,"[-71.0588801 42.3600825, 0]","[-84.3879824 33.7489954, 0]"
Brooklyn Nets,Washington Wizards,7,"[-73.9441579 40.6781784, 0]","[-77.0368707 38.9071923, 0]"
Charlotte Hornets,New York Knicks,-2,"[-80.8431267 35.2270869, 0]","[-74.0059728 40.7127753, 0]"
Cleveland Cavaliers,Milwaukee Bucks,-12,"[-81.6943605 41.49932, 0]","[-87.9064736 43.0389025, 0]"
Denver Nuggets,Oklahoma City Thunder,11,"[-104.990251 39.7392358, 0]","[-97.5164276 35.4675602, 0]"
Memphis Grizzlies,Miami Heat,-3,"[-90.0489801 35.1495343, 0]","[-80.1917902 25.7616798, 0]"
Philadelphia 76ers,Indiana Pacers,-12,"[-75.1652215 39.9525839, 0]","[-86.1349019 40.2671941, 0]"
Portland Trail Blazers,Toronto Raptors,6,"[-122.6750261 45.5051064, 0]","[-79.3831843 43.653226, 0]"
Sacramento Kings,Golden State Warriors,-5,"[-121.4943996 38.5815719, 0]","[-122.4194155 37.7749295, 0]"
Charlotte Hornets,Los Angeles Lakers,-28,"[-80.8431267 35.2270869, 0]","[-118.2436849 34.0522342, 0]"
Detroit Pistons,Boston Celtics,9,"[-83.0457538 42.331427, 0]","[-71.0588801 42.3600825, 0]"
Memphis Grizzlies,Houston Rockets,-8,"[-90.0489801 35.1495343, 0]","[-95.3698028 29.7604267, 0]"
Oklahoma City Thunder,Los Angeles Clippers,6,"[-97.5164276 35.4675602, 0]","[-118.2436849 34.0522342, 0]"
Orlando Magic,Utah Jazz,7,"[-81.3792365 28.5383355, 0]","[-111.0937311 39.3209801, 0]"
Phoenix Suns,Minnesota Timberwolves,8,"[-112.0740373 33.4483771, 0]","[-94.6858998 46.729553, 0]"
San Antonio Spurs,Chicago Bulls,-5,"[-98.4936282 29.4241219, 0]","[-87.6297982 41.8781136, 0]"
Brooklyn Nets,Atlanta Hawks,17,"[-73.9441579 40.6781784, 0]","[-84.3879824 33.7489954, 0]"
Cleveland Cavaliers,Philadelphia 76ers,-23,"[-81.6943605 41.49932, 0]","[-75.1652215 39.9525839, 0]"
Dallas Mavericks,Sacramento Kings,-7,"[-96.7969879 32.7766642, 0]","[-121.4943996 38.5815719, 0]"
Denver Nuggets,Toronto Raptors,9,"[-104.990251 39.7392358, 0]","[-79.3831843 43.653226, 0]"
Indiana Pacers,New York Knicks,11,"[-86.1349019 40.2671941, 0]","[-74.0059728 40.7127753, 0]"
New Orleans Pelicans,Miami Heat,-6,"[-90.0715323 29.9510658, 0]","[-80.1917902 25.7616798, 0]"
Washington Wizards,Los Angeles Lakers,18,"[-77.0368707 38.9071923, 0]","[-118.2436849 34.0522342, 0]"
Detroit Pistons,Milwaukee Bucks,-3,"[-83.0457538 42.331427, 0]","[-87.9064736 43.0389025, 0]"
Golden State Warriors,Memphis Grizzlies,17,"[-122.4194155 37.7749295, 0]","[-90.0489801 35.1495343, 0]"
Houston Rockets,Utah Jazz,5,"[-95.3698028 29.7604267, 0]","[-111.0937311 39.3209801, 0]"
Los Angeles Clippers,Portland Trail Blazers,-4,"[-118.2436849 34.0522342, 0]","[-122.6750261 45.5051064, 0]"
Minnesota Timberwolves,Sacramento Kings,27,"[-94.6858998 46.729553, 0]","[-121.4943996 38.5815719, 0]"
New York Knicks,Phoenix Suns,-18,"[-74.0059728 40.7127753, 0]","[-112.0740373 33.4483771, 0]"
Oklahoma City Thunder,Chicago Bulls,25,"[-97.5164276 35.4675602, 0]","[-87.6297982 41.8781136, 0]"
San Antonio Spurs,Philadelphia 76ers,27,"[-98.4936282 29.4241219, 0]","[-75.1652215 39.9525839, 0]"
Atlanta Hawks,Washington Wizards,8,"[-84.3879824 33.7489954, 0]","[-77.0368707 38.9071923, 0]"
Brooklyn Nets,Los Angeles Lakers,5,"[-73.9441579 40.6781784, 0]","[-118.2436849 34.0522342, 0]"
Denver Nuggets,Dallas Mavericks,8,"[-104.990251 39.7392358, 0]","[-96.7969879 32.7766642, 0]"
Indiana Pacers,Cleveland Cavaliers,-1,"[-86.1349019 40.2671941, 0]","[-81.6943605 41.49932, 0]"
Boston Celtics,Phoenix Suns,-8,"[-71.0588801 42.3600825, 0]","[-112.0740373 33.4483771, 0]"
Chicago Bulls,Brooklyn Nets,-3,"[-87.6297982 41.8781136, 0]","[-73.9441579 40.6781784, 0]"
Charlotte Hornets,Cleveland Cavaliers,11,"[-80.8431267 35.2270869, 0]","[-81.6943605 41.49932, 0]"
Houston Rockets,Washington Wizards,18,"[-95.3698028 29.7604267, 0]","[-77.0368707 38.9071923, 0]"
Milwaukee Bucks,New Orleans Pelicans,8,"[-87.9064736 43.0389025, 0]","[-90.0715323 29.9510658, 0]"
Minnesota Timberwolves,Detroit Pistons,-6,"[-94.6858998 46.729553, 0]","[-83.0457538 42.331427, 0]"
Orlando Magic,San Antonio Spurs,-39,"[-81.3792365 28.5383355, 0]","[-98.4936282 29.4241219, 0]"
Philadelphia 76ers,New York Knicks,22,"[-75.1652215 39.9525839, 0]","[-74.0059728 40.7127753, 0]"
Portland Trail Blazers,Memphis Grizzlies,7,"[-122.6750261 45.5051064, 0]","[-90.0489801 35.1495343, 0]"
Sacramento Kings,Oklahoma City Thunder,-19,"[-121.4943996 38.5815719, 0]","[-97.5164276 35.4675602, 0]"
Toronto Raptors,Indiana Pacers,3,"[-79.3831843 43.653226, 0]","[-86.1349019 40.2671941, 0]"
Utah Jazz,Golden State Warriors,5,"[-111.0937311 39.3209801, 0]","[-122.4194155 37.7749295, 0]"
Los Angeles Clippers,Dallas Mavericks,4,"[-118.2436849 34.0522342, 0]","[-96.7969879 32.7766642, 0]"
Miami Heat,Houston Rockets,2,"[-80.1917902 25.7616798, 0]","[-95.3698028 29.7604267, 0]"
Boston Celtics,Milwaukee Bucks,-13,"[-71.0588801 42.3600825, 0]","[-87.9064736 43.0389025, 0]"
Brooklyn Nets,Indiana Pacers,-8,"[-73.9441579 40.6781784, 0]","[-86.1349019 40.2671941, 0]"
Chicago Bulls,Orlando Magic,10,"[-87.6297982 41.8781136, 0]","[-81.3792365 28.5383355, 0]"
Charlotte Hornets,Detroit Pistons,12,"[-80.8431267 35.2270869, 0]","[-83.0457538 42.331427, 0]"
Los Angeles Lakers,New Orleans Pelicans,8,"[-118.2436849 34.0522342, 0]","[-90.0715323 29.9510658, 0]"
New York Knicks,Atlanta Hawks,-7,"[-74.0059728 40.7127753, 0]","[-84.3879824 33.7489954, 0]"
Portland Trail Blazers,Utah Jazz,-30,"[-122.6750261 45.5051064, 0]","[-111.0937311 39.3209801, 0]"
Sacramento Kings,Memphis Grizzlies,3,"[-121.4943996 38.5815719, 0]","[-90.0489801 35.1495343, 0]"
San Antonio Spurs,Minnesota Timberwolves,26,"[-98.4936282 29.4241219, 0]","[-94.6858998 46.729553, 0]"
Toronto Raptors,Cleveland Cavaliers,16,"[-79.3831843 43.653226, 0]","[-81.6943605 41.49932, 0]"
Golden State Warriors,Dallas Mavericks,4,"[-122.4194155 37.7749295, 0]","[-96.7969879 32.7766642, 0]"
Houston Rockets,San Antonio Spurs,7,"[-95.3698028 29.7604267, 0]","[-98.4936282 29.4241219, 0]"
Los Angeles Clippers,Denver Nuggets,21,"[-118.2436849 34.0522342, 0]","[-104.990251 39.7392358, 0]"
Miami Heat,Milwaukee Bucks,7,"[-80.1917902 25.7616798, 0]","[-87.9064736 43.0389025, 0]"
Philadelphia 76ers,Toronto Raptors,25,"[-75.1652215 39.9525839, 0]","[-79.3831843 43.653226, 0]"
Utah Jazz,Oklahoma City Thunder,-1,"[-111.0937311 39.3209801, 0]","[-97.5164276 35.4675602, 0]"
Washington Wizards,Phoenix Suns,3,"[-77.0368707 38.9071923, 0]","[-112.0740373 33.4483771, 0]"
Boston Celtics,Charlotte Hornets,16,"[-71.0588801 42.3600825, 0]","[-80.8431267 35.2270869, 0]"
Brooklyn Nets,Phoenix Suns,8,"[-73.9441579 40.6781784, 0]","[-112.0740373 33.4483771, 0]"
Cleveland Cavaliers,Chicago Bulls,-20,"[-81.6943605 41.49932, 0]","[-87.6297982 41.8781136, 0]"
Detroit Pistons,Atlanta Hawks,-3,"[-83.0457538 42.331427, 0]","[-84.3879824 33.7489954, 0]"
Golden State Warriors,Los Angeles Clippers,2,"[-122.4194155 37.7749295, 0]","[-118.2436849 34.0522342, 0]"
Indiana Pacers,Washington Wizards,16,"[-86.1349019 40.2671941, 0]","[-77.0368707 38.9071923, 0]"
Los Angeles Lakers,Memphis Grizzlies,-8,"[-118.2436849 34.0522342, 0]","[-90.0489801 35.1495343, 0]"
Oklahoma City Thunder,Minnesota Timberwolves,-2,"[-97.5164276 35.4675602, 0]","[-94.6858998 46.729553, 0]"
Orlando Magic,Miami Heat,-24,"[-81.3792365 28.5383355, 0]","[-80.1917902 25.7616798, 0]"
Portland Trail Blazers,Dallas Mavericks,3,"[-122.6750261 45.5051064, 0]","[-96.7969879 32.7766642, 0]"
Sacramento Kings,New Orleans Pelicans,5,"[-121.4943996 38.5815719, 0]","[-90.0715323 29.9510658, 0]"
Boston Celtics,Philadelphia 76ers,7,"[-71.0588801 42.3600825, 0]","[-75.1652215 39.9525839, 0]"
Golden State Warriors,Los Angeles Lakers,-26,"[-122.4194155 37.7749295, 0]","[-118.2436849 34.0522342, 0]"
Houston Rockets,Oklahoma City Thunder,4,"[-95.3698028 29.7604267, 0]","[-97.5164276 35.4675602, 0]"
New York Knicks,Milwaukee Bucks,-14,"[-74.0059728 40.7127753, 0]","[-87.9064736 43.0389025, 0]"
Utah Jazz,Portland Trail Blazers,21,"[-111.0937311 39.3209801, 0]","[-122.6750261 45.5051064, 0]"
Atlanta Hawks,Indiana Pacers,-8,"[-84.3879824 33.7489954, 0]","[-86.1349019 40.2671941, 0]"
Brooklyn Nets,Charlotte Hornets,2,"[-73.9441579 40.6781784, 0]","[-80.8431267 35.2270869, 0]"
Chicago Bulls,Minnesota Timberwolves,-25,"[-87.6297982 41.8781136, 0]","[-94.6858998 46.729553, 0]"
Dallas Mavericks,New Orleans Pelicans,3,"[-96.7969879 32.7766642, 0]","[-90.0715323 29.9510658, 0]"
Detroit Pistons,Washington Wizards,11,"[-83.0457538 42.331427, 0]","[-77.0368707 38.9071923, 0]"
Los Angeles Clippers,Sacramento Kings,9,"[-118.2436849 34.0522342, 0]","[-121.4943996 38.5815719, 0]"
Memphis Grizzlies,Cleveland Cavaliers,8,"[-90.0489801 35.1495343, 0]","[-81.6943605 41.49932, 0]"
Miami Heat,Toronto Raptors,-2,"[-80.1917902 25.7616798, 0]","[-79.3831843 43.653226, 0]"
Orlando Magic,Phoenix Suns,-2,"[-81.3792365 28.5383355, 0]","[-112.0740373 33.4483771, 0]"
San Antonio Spurs,Denver Nuggets,8,"[-98.4936282 29.4241219, 0]","[-104.990251 39.7392358, 0]"
Golden State Warriors,Portland Trail Blazers,-1,"[-122.4194155 37.7749295, 0]","[-122.6750261 45.5051064, 0]"
Houston Rockets,Boston Celtics,14,"[-95.3698028 29.7604267, 0]","[-71.0588801 42.3600825, 0]"
Milwaukee Bucks,New York Knicks,16,"[-87.9064736 43.0389025, 0]","[-74.0059728 40.7127753, 0]"
Sacramento Kings,Los Angeles Lakers,1,"[-121.4943996 38.5815719, 0]","[-118.2436849 34.0522342, 0]"
Utah Jazz,Philadelphia 76ers,-17,"[-111.0937311 39.3209801, 0]","[-75.1652215 39.9525839, 0]"
Charlotte Hornets,Brooklyn Nets,13,"[-80.8431267 35.2270869, 0]","[-73.9441579 40.6781784, 0]"
Denver Nuggets,San Antonio Spurs,3,"[-104.990251 39.7392358, 0]","[-98.4936282 29.4241219, 0]"
Indiana Pacers,Detroit Pistons,37,"[-86.1349019 40.2671941, 0]","[-83.0457538 42.331427, 0]"
Los Angeles Lakers,Los Angeles Clippers,-11,"[-118.2436849 34.0522342, 0]","[-118.2436849 34.0522342, 0]"
Miami Heat,Cleveland Cavaliers,24,"[-80.1917902 25.7616798, 0]","[-81.6943605 41.49932, 0]"
Minnesota Timberwolves,Atlanta Hawks,-3,"[-94.6858998 46.729553, 0]","[-84.3879824 33.7489954, 0]"
New Orleans Pelicans,Dallas Mavericks,2,"[-90.0715323 29.9510658, 0]","[-96.7969879 32.7766642, 0]"
Orlando Magic,Toronto Raptors,29,"[-81.3792365 28.5383355, 0]","[-79.3831843 43.653226, 0]"
Phoenix Suns,Oklahoma City Thunder,-16,"[-112.0740373 33.4483771, 0]","[-97.5164276 35.4675602, 0]"
Washington Wizards,Chicago Bulls,-9,"[-77.0368707 38.9071923, 0]","[-87.6297982 41.8781136, 0]"
Atlanta Hawks,Cleveland Cavaliers,3,"[-84.3879824 33.7489954, 0]","[-81.6943605 41.49932, 0]"
Los Angeles Clippers,San Antonio Spurs,-11,"[-118.2436849 34.0522342, 0]","[-98.4936282 29.4241219, 0]"
