home,away,home_mov,home_location,away_location
Minnesota Timberwolves,Los Angeles Lakers,22,"[-94.6858998 46.729553, 0]","[-118.2436849 34.0522342, 0]"
Oklahoma City Thunder,Washington Wizards,-18,"[-97.5164276 35.4675602, 0]","[-77.0368707 38.9071923, 0]"
Phoenix Suns,Charlotte Hornets,-6,"[-112.0740373 33.4483771, 0]","[-80.8431267 35.2270869, 0]"
Toronto Raptors,Indiana Pacers,16,"[-79.3831843 43.653226, 0]","[-86.1349019 40.2671941, 0]"
Boston Celtics,Brooklyn Nets,21,"[-71.0588801 42.3600825, 0]","[-73.9441579 40.6781784, 0]"
Dallas Mavericks,Los Angeles Lakers,-10,"[-96.7969879 32.7766642, 0]","[-118.2436849 34.0522342, 0]"
Detroit Pistons,San Antonio Spurs,-12,"[-83.0457538 42.331427, 0]","[-98.4936282 29.4241219, 0]"
Houston Rockets,Denver Nuggets,12,"[-95.3698028 29.7604267, 0]","[-104.990251 39.7392358, 0]"
Milwaukee Bucks,Utah Jazz,12,"[-87.9064736 43.0389025, 0]","[-111.0937311 39.3209801, 0]"
New Orleans Pelicans,Memphis Grizzlies,19,"[-90.0715323 29.9510658, 0]","[-90.0489801 35.1495343, 0]"
Portland Trail Blazers,New York Knicks,10,"[-122.6750261 45.5051064, 0]","[-74.0059728 40.7127753, 0]"
Sacramento Kings,Orlando Magic,16,"[-121.4943996 38.5815719, 0]","[-81.3792365 28.5383355, 0]"
Cleveland Cavaliers,Indiana Pacers,-8,"[-81.6943605 41.49932, 0]","[-86.1349019 40.2671941, 0]"
Golden State Warriors,New York Knicks,27,"[-122.4194155 37.7749295, 0]","[-74.0059728 40.7127753, 0]"
Los Angeles Clippers,Charlotte Hornets,19,"[-118.2436849 34.0522342, 0]","[-80.8431267 35.2270869, 0]"
Miami Heat,Denver Nuggets,-4,"[-80.1917902 25.7616798, 0]","[-104.990251 39.7392358, 0]"
Oklahoma City Thunder,Minnesota Timberwolves,-2,"[-97.5164276 35.4675602, 0]","[-94.6858998 46.729553, 0]"
Philadelphia 76ers,Washington Wizards,17,"[-75.1652215 39.9525839, 0]","[-77.0368707 38.9071923, 0]"
Phoenix Suns,Sacramento Kings,4,"[-112.0740373 33.4483771, 0]","[-121.4943996 38.5815719, 0]"
Toronto Raptors,Atlanta Hawks,3,"[-79.3831843 43.653226, 0]","[-84.3879824 33.7489954, 0]"
Boston Celtics,Indiana Pacers,27,"[-71.0588801 42.3600825, 0]","[-86.1349019 40.2671941, 0]"
Brooklyn Nets,Atlanta Hawks,16,"[-73.9441579 40.6781784, 0]","[-84.3879824 33.7489954, 0]"
Dallas Mavericks,Phoenix Suns,10,"[-96.7969879 32.7766642, 0]","[-112.0740373 33.4483771, 0]"
Houston Rockets,Milwaukee Bucks,-7,"[-95.3698028 29.7604267, 0]","[-87.9064736 43.0389025, 0]"
Los Angeles Lakers,Detroit Pistons,13,"[-118.2436849 34.0522342, 0]","[-83.0457538 42.331427, 0]"
Memphis Grizzlies,San Antonio Spurs,10,"[-90.0489801 35.1495343, 0]","[-98.4936282 29.4241219, 0]"
New Orleans Pelicans,Cleveland Cavaliers,16,"[-90.0715323 29.9510658, 0]","[-81.6943605 41.49932, 0]"
Portland Trail Blazers,Chicago Bulls,12,"[-122.6750261 45.5051064, 0]","[-87.6297982 41.8781136, 0]"
Utah Jazz,Orlando Magic,13,"[-111.0937311 39.3209801, 0]","[-81.3792365 28.5383355, 0]"
Washington Wizards,Philadelphia 76ers,17,"[-77.0368707 38.9071923, 0]","[-75.1652215 39.9525839, 0]"
Denver Nuggets,Los Angeles Clippers,21,"[-104.990251 39.7392358, 0]","[-118.2436849 34.0522342, 0]"
Miami Heat,Boston Celtics,16,"[-80.1917902 25.7616798, 0]","[-71.0588801 42.3600825, 0]"
Sacramento Kings,Detroit Pistons,10,"[-121.4943996 38.5815719, 0]","[-83.0457538 42.331427, 0]"
San Antonio Spurs,Oklahoma City Thunder,7,"[-98.4936282 29.4241219, 0]","[-97.5164276 35.4675602, 0]"
Golden State Warriors,Chicago Bulls,37,"[-122.4194155 37.7749295, 0]","[-87.6297982 41.8781136, 0]"
Houston Rockets,Cleveland Cavaliers,28,"[-95.3698028 29.7604267, 0]","[-81.6943605 41.49932, 0]"
Minnesota Timberwolves,Dallas Mavericks,-4,"[-94.6858998 46.729553, 0]","[-96.7969879 32.7766642, 0]"
New York Knicks,Indiana Pacers,-15,"[-74.0059728 40.7127753, 0]","[-86.1349019 40.2671941, 0]"
Philadelphia 76ers,Atlanta Hawks,-2,"[-75.1652215 39.9525839, 0]","[-84.3879824 33.7489954, 0]"
Portland Trail Blazers,Charlotte Hornets,31,"[-122.6750261 45.5051064, 0]","[-80.8431267 35.2270869, 0]"
Toronto Raptors,Brooklyn Nets,17,"[-79.3831843 43.653226, 0]","[-73.9441579 40.6781784, 0]"
Utah Jazz,Los Angeles Lakers,18,"[-111.0937311 39.3209801, 0]","[-118.2436849 34.0522342, 0]"
Washington Wizards,Milwaukee Bucks,7,"[-77.0368707 38.9071923, 0]","[-87.9064736 43.0389025, 0]"
Los Angeles Clippers,Detroit Pistons,-5,"[-118.2436849 34.0522342, 0]","[-83.0457538 42.331427, 0]"
Miami Heat,Memphis Grizzlies,4,"[-80.1917902 25.7616798, 0]","[-90.0489801 35.1495343, 0]"
Minnesota Timberwolves,New Orleans Pelicans,4,"[-94.6858998 46.729553, 0]","[-90.0715323 29.9510658, 0]"
Oklahoma City Thunder,San Antonio Spurs,10,"[-97.5164276 35.4675602, 0]","[-98.4936282 29.4241219, 0]"
Orlando Magic,Boston Celtics,2,"[-81.3792365 28.5383355, 0]","[-71.0588801 42.3600825, 0]"
Phoenix Suns,Denver Nuggets,9,"[-112.0740373 33.4483771, 0]","[-104.990251 39.7392358, 0]"
Sacramento Kings,Charlotte Hornets,7,"[-121.4943996 38.5815719, 0]","[-80.8431267 35.2270869, 0]"
Utah Jazz,Chicago Bulls,8,"[-111.0937311 39.3209801, 0]","[-87.6297982 41.8781136, 0]"
Atlanta Hawks,Milwaukee Bucks,-19,"[-84.3879824 33.7489954, 0]","[-87.9064736 43.0389025, 0]"
Dallas Mavericks,Golden State Warriors,-5,"[-96.7969879 32.7766642, 0]","[-122.4194155 37.7749295, 0]"
Denver Nuggets,Portland Trail Blazers,3,"[-104.990251 39.7392358, 0]","[-122.6750261 45.5051064, 0]"
Los Angeles Lakers,Cleveland Cavaliers,-6,"[-118.2436849 34.0522342, 0]","[-81.6943605 41.49932, 0]"
New York Knicks,Philadelphia 76ers,-3,"[-74.0059728 40.7127753, 0]","[-75.1652215 39.9525839, 0]"
Orlando Magic,Houston Rockets,7,"[-81.3792365 28.5383355, 0]","[-95.3698028 29.7604267, 0]"
Washington Wizards,Toronto Raptors,-2,"[-77.0368707 38.9071923, 0]","[-79.3831843 43.653226, 0]"
Brooklyn Nets,Boston Celtics,7,"[-73.9441579 40.6781784, 0]","[-71.0588801 42.3600825, 0]"
Houston Rockets,Memphis Grizzlies,18,"[-95.3698028 29.7604267, 0]","[-90.0489801 35.1495343, 0]"
Los Angeles Clippers,New Orleans Pelicans,-4,"[-118.2436849 34.0522342, 0]","[-90.0715323 29.9510658, 0]"
Sacramento Kings,Portland Trail Blazers,8,"[-121.4943996 38.5815719, 0]","[-122.6750261 45.5051064, 0]"
San Antonio Spurs,Charlotte Hornets,-15,"[-98.4936282 29.4241219, 0]","[-80.8431267 35.2270869, 0]"
Utah Jazz,Detroit Pistons,6,"[-111.0937311 39.3209801, 0]","[-83.0457538 42.331427, 0]"
Atlanta Hawks,Oklahoma City Thunder,16,"[-84.3879824 33.7489954, 0]","[-97.5164276 35.4675602, 0]"
Denver Nuggets,Golden State Warriors,-31,"[-104.990251 39.7392358, 0]","[-122.4194155 37.7749295, 0]"
Indiana Pacers,Phoenix Suns,34,"[-86.1349019 40.2671941, 0]","[-112.0740373 33.4483771, 0]"
Los Angeles Lakers,Chicago Bulls,7,"[-118.2436849 34.0522342, 0]","[-87.6297982 41.8781136, 0]"
Milwaukee Bucks,Miami Heat,38,"[-87.9064736 43.0389025, 0]","[-80.1917902 25.7616798, 0]"
Philadelphia 76ers,Minnesota Timberwolves,42,"[-75.1652215 39.9525839, 0]","[-94.6858998 46.729553, 0]"
Boston Celtics,Toronto Raptors,9,"[-71.0588801 42.3600825, 0]","[-79.3831843 43.653226, 0]"
Dallas Mavericks,San Antonio Spurs,-4,"[-96.7969879 32.7766642, 0]","[-98.4936282 29.4241219, 0]"
Detroit Pistons,Orlando Magic,5,"[-83.0457538 42.331427, 0]","[-81.3792365 28.5383355, 0]"
Golden State Warriors,New Orleans Pelicans,7,"[-122.4194155 37.7749295, 0]","[-90.0715323 29.9510658, 0]"
Houston Rockets,Brooklyn Nets,-3,"[-95.3698028 29.7604267, 0]","[-73.9441579 40.6781784, 0]"
Los Angeles Clippers,Utah Jazz,-20,"[-118.2436849 34.0522342, 0]","[-111.0937311 39.3209801, 0]"
Memphis Grizzlies,Milwaukee Bucks,-10,"[-90.0489801 35.1495343, 0]","[-87.9064736 43.0389025, 0]"
Portland Trail Blazers,Cleveland Cavaliers,17,"[-122.6750261 45.5051064, 0]","[-81.6943605 41.49932, 0]"
Charlotte Hornets,Sacramento Kings,19,"[-80.8431267 35.2270869, 0]","[-121.4943996 38.5815719, 0]"
Denver Nuggets,Chicago Bulls,30,"[-104.990251 39.7392358, 0]","[-87.6297982 41.8781136, 0]"
Indiana Pacers,Philadelphia 76ers,-24,"[-86.1349019 40.2671941, 0]","[-75.1652215 39.9525839, 0]"
Oklahoma City Thunder,Los Angeles Lakers,-10,"[-97.5164276 35.4675602, 0]","[-118.2436849 34.0522342, 0]"
Toronto Raptors,Phoenix Suns,2,"[-79.3831843 43.653226, 0]","[-112.0740373 33.4483771, 0]"
Washington Wizards,New York Knicks,1,"[-77.0368707 38.9071923, 0]","[-74.0059728 40.7127753, 0]"
Boston Celtics,Memphis Grizzlies,6,"[-71.0588801 42.3600825, 0]","[-90.0489801 35.1495343, 0]"
Detroit Pistons,Miami Heat,5,"[-83.0457538 42.331427, 0]","[-80.1917902 25.7616798, 0]"
Los Angeles Clippers,Golden State Warriors,-18,"[-118.2436849 34.0522342, 0]","[-122.4194155 37.7749295, 0]"
Minnesota Timberwolves,San Antonio Spurs,-3,"[-94.6858998 46.729553, 0]","[-98.4936282 29.4241219, 0]"
Orlando Magic,Brooklyn Nets,-2,"[-81.3792365 28.5383355, 0]","[-73.9441579 40.6781784, 0]"
Portland Trail Blazers,New Orleans Pelicans,16,"[-122.6750261 45.5051064, 0]","[-90.0715323 29.9510658, 0]"
Utah Jazz,Cleveland Cavaliers,16,"[-111.0937311 39.3209801, 0]","[-81.6943605 41.49932, 0]"
Atlanta Hawks,Boston Celtics,-8,"[-84.3879824 33.7489954, 0]","[-71.0588801 42.3600825, 0]"
Chicago Bulls,Miami Heat,-14,"[-87.6297982 41.8781136, 0]","[-80.1917902 25.7616798, 0]"
Charlotte Hornets,Phoenix Suns,20,"[-80.8431267 35.2270869, 0]","[-112.0740373 33.4483771, 0]"
Denver Nuggets,Cleveland Cavaliers,22,"[-104.990251 39.7392358, 0]","[-81.6943605 41.49932, 0]"
Detroit Pistons,Sacramento Kings,-2,"[-83.0457538 42.331427, 0]","[-121.4943996 38.5815719, 0]"
Houston Rockets,Los Angeles Lakers,4,"[-95.3698028 29.7604267, 0]","[-118.2436849 34.0522342, 0]"
Indiana Pacers,Dallas Mavericks,12,"[-86.1349019 40.2671941, 0]","[-96.7969879 32.7766642, 0]"
Orlando Magic,Milwaukee Bucks,-10,"[-81.3792365 28.5383355, 0]","[-87.9064736 43.0389025, 0]"
Philadelphia 76ers,Oklahoma City Thunder,-2,"[-75.1652215 39.9525839, 0]","[-97.5164276 35.4675602, 0]"
Toronto Raptors,Memphis Grizzlies,29,"[-79.3831843 43.653226, 0]","[-90.0489801 35.1495343, 0]"
Indiana Pacers,Charlotte Hornets,25,"[-86.1349019 40.2671941, 0]","[-80.8431267 35.2270869, 0]"
Minnesota Timberwolves,Phoenix Suns,2,"[-94.6858998 46.729553, 0]","[-112.0740373 33.4483771, 0]"
San Antonio Spurs,Los Angeles Clippers,-8,"[-98.4936282 29.4241219, 0]","[-118.2436849 34.0522342, 0]"
Atlanta Hawks,Orlando Magic,-19,"[-84.3879824 33.7489954, 0]","[-81.3792365 28.5383355, 0]"
Boston Celtics,Miami Heat,8,"[-71.0588801 42.3600825, 0]","[-80.1917902 25.7616798, 0]"
Brooklyn Nets,Sacramento Kings,29,"[-73.9441579 40.6781784, 0]","[-121.4943996 38.5815719, 0]"
Cleveland Cavaliers,Chicago Bulls,-16,"[-81.6943605 41.49932, 0]","[-87.6297982 41.8781136, 0]"
Los Angeles Lakers,Golden State Warriors,-19,"[-118.2436849 34.0522342, 0]","[-122.4194155 37.7749295, 0]"
Memphis Grizzlies,New Orleans Pelicans,-20,"[-90.0489801 35.1495343, 0]","[-90.0715323 29.9510658, 0]"
Milwaukee Bucks,Dallas Mavericks,10,"[-87.9064736 43.0389025, 0]","[-96.7969879 32.7766642, 0]"
New York Knicks,Oklahoma City Thunder,-18,"[-74.0059728 40.7127753, 0]","[-97.5164276 35.4675602, 0]"
Philadelphia 76ers,Houston Rockets,28,"[-75.1652215 39.9525839, 0]","[-95.3698028 29.7604267, 0]"
Utah Jazz,Portland Trail Blazers,-5,"[-111.0937311 39.3209801, 0]","[-122.6750261 45.5051064, 0]"
Washington Wizards,Detroit Pistons,14,"[-77.0368707 38.9071923, 0]","[-83.0457538 42.331427, 0]"
Dallas Mavericks,Los Angeles Clippers,8,"[-96.7969879 32.7766642, 0]","[-118.2436849 34.0522342, 0]"
Oklahoma City Thunder,Portland Trail Blazers,9,"[-97.5164276 35.4675602, 0]","[-122.6750261 45.5051064, 0]"
Phoenix Suns,Minnesota Timberwolves,-27,"[-112.0740373 33.4483771, 0]","[-94.6858998 46.729553, 0]"
Toronto Raptors,Sacramento Kings,15,"[-79.3831843 43.653226, 0]","[-121.4943996 38.5815719, 0]"
Boston Celtics,Cleveland Cavaliers,20,"[-71.0588801 42.3600825, 0]","[-81.6943605 41.49932, 0]"
Brooklyn Nets,Orlando Magic,4,"[-73.9441579 40.6781784, 0]","[-81.3792365 28.5383355, 0]"
Chicago Bulls,Atlanta Hawks,-20,"[-87.6297982 41.8781136, 0]","[-84.3879824 33.7489954, 0]"
Indiana Pacers,Toronto Raptors,4,"[-86.1349019 40.2671941, 0]","[-79.3831843 43.653226, 0]"
Memphis Grizzlies,Charlotte Hornets,-11,"[-90.0489801 35.1495343, 0]","[-80.8431267 35.2270869, 0]"
Miami Heat,Los Angeles Clippers,-12,"[-80.1917902 25.7616798, 0]","[-118.2436849 34.0522342, 0]"
New Orleans Pelicans,Detroit Pistons,-4,"[-90.0715323 29.9510658, 0]","[-83.0457538 42.331427, 0]"
New York Knicks,Houston Rockets,-4,"[-74.0059728 40.7127753, 0]","[-95.3698028 29.7604267, 0]"
Philadelphia 76ers,San Antonio Spurs,2,"[-75.1652215 39.9525839, 0]","[-98.4936282 29.4241219, 0]"
Utah Jazz,Denver Nuggets,6,"[-111.0937311 39.3209801, 0]","[-104.990251 39.7392358, 0]"
Los Angeles Lakers,Minnesota Timberwolves,-15,"[-118.2436849 34.0522342, 0]","[-94.6858998 46.729553, 0]"
Oklahoma City Thunder,New Orleans Pelicans,6,"[-97.5164276 35.4675602, 0]","[-90.0715323 29.9510658, 0]"
Phoenix Suns,Portland Trail Blazers,-14,"[-112.0740373 33.4483771, 0]","[-122.6750261 45.5051064, 0]"
Washington Wizards,Golden State Warriors,-8,"[-77.0368707 38.9071923, 0]","[-122.4194155 37.7749295, 0]"
Brooklyn Nets,New York Knicks,10,"[-73.9441579 40.6781784, 0]","[-74.0059728 40.7127753, 0]"
Chicago Bulls,Los Angeles Clippers,-5,"[-87.6297982 41.8781136, 0]","[-118.2436849 34.0522342, 0]"
Cleveland Cavaliers,Miami Heat,-6,"[-81.6943605 41.49932, 0]","[-80.1917902 25.7616798, 0]"
Dallas Mavericks,Detroit Pistons,5,"[-96.7969879 32.7766642, 0]","[-83.0457538 42.331427, 0]"
Denver Nuggets,Phoenix Suns,37,"[-104.990251 39.7392358, 0]","[-112.0740373 33.4483771, 0]"
Houston Rockets,Toronto Raptors,2,"[-95.3698028 29.7604267, 0]","[-79.3831843 43.653226, 0]"
Memphis Grizzlies,Sacramento Kings,-3,"[-90.0489801 35.1495343, 0]","[-121.4943996 38.5815719, 0]"
Milwaukee Bucks,Charlotte Hornets,9,"[-87.9064736 43.0389025, 0]","[-80.8431267 35.2270869, 0]"
Orlando Magic,Washington Wizards,-4,"[-81.3792365 28.5383355, 0]","[-77.0368707 38.9071923, 0]"
Utah Jazz,Minnesota Timberwolves,4,"[-111.0937311 39.3209801, 0]","[-94.6858998 46.729553, 0]"
Boston Celtics,Golden State Warriors,-4,"[-71.0588801 42.3600825, 0]","[-122.4194155 37.7749295, 0]"
Denver Nuggets,Philadelphia 76ers,16,"[-104.990251 39.7392358, 0]","[-75.1652215 39.9525839, 0]"
Memphis Grizzlies,Indiana Pacers,3,"[-90.0489801 35.1495343, 0]","[-86.1349019 40.2671941, 0]"
New Orleans Pelicans,San Antonio Spurs,-12,"[-90.0715323 29.9510658, 0]","[-98.4936282 29.4241219, 0]"
Portland Trail Blazers,Atlanta Hawks,9,"[-122.6750261 45.5051064, 0]","[-84.3879824 33.7489954, 0]"
Chicago Bulls,Cleveland Cavaliers,-3,"[-87.6297982 41.8781136, 0]","[-81.6943605 41.49932, 0]"
Dallas Mavericks,Toronto Raptors,-3,"[-96.7969879 32.7766642, 0]","[-79.3831843 43.653226, 0]"
Houston Rockets,Orlando Magic,5,"[-95.3698028 29.7604267, 0]","[-81.3792365 28.5383355, 0]"
Los Angeles Clippers,Sacramento Kings,14,"[-118.2436849 34.0522342, 0]","[-121.4943996 38.5815719, 0]"
Los Angeles Lakers,Phoenix Suns,14,"[-118.2436849 34.0522342, 0]","[-112.0740373 33.4483771, 0]"
Minnesota Timberwolves,Utah Jazz,-14,"[-94.6858998 46.729553, 0]","[-111.0937311 39.3209801, 0]"
New York Knicks,Miami Heat,-9,"[-74.0059728 40.7127753, 0]","[-80.1917902 25.7616798, 0]"
Oklahoma City Thunder,Milwaukee Bucks,6,"[-97.5164276 35.4675602, 0]","[-87.9064736 43.0389025, 0]"
San Antonio Spurs,Washington Wizards,13,"[-98.4936282 29.4241219, 0]","[-77.0368707 38.9071923, 0]"
Boston Celtics,Brooklyn Nets,8,"[-71.0588801 42.3600825, 0]","[-73.9441579 40.6781784, 0]"
Charlotte Hornets,New York Knicks,9,"[-80.8431267 35.2270869, 0]","[-74.0059728 40.7127753, 0]"
Indiana Pacers,Golden State Warriors,-32,"[-86.1349019 40.2671941, 0]","[-122.4194155 37.7749295, 0]"
Los Angeles Clippers,Atlanta Hawks,-5,"[-118.2436849 34.0522342, 0]","[-84.3879824 33.7489954, 0]"
Memphis Grizzlies,Denver Nuggets,-3,"[-90.0489801 35.1495343, 0]","[-104.990251 39.7392358, 0]"
Brooklyn Nets,Chicago Bulls,5,"[-73.9441579 40.6781784, 0]","[-87.6297982 41.8781136, 0]"
Cleveland Cavaliers,Washington Wizards,3,"[-81.6943605 41.49932, 0]","[-77.0368707 38.9071923, 0]"
Detroit Pistons,Milwaukee Bucks,-10,"[-83.0457538 42.331427, 0]","[-87.9064736 43.0389025, 0]"
Houston Rockets,New Orleans Pelicans,-5,"[-95.3698028 29.7604267, 0]","[-90.0715323 29.9510658, 0]"
Los Angeles Lakers,Philadelphia 76ers,-16,"[-118.2436849 34.0522342, 0]","[-75.1652215 39.9525839, 0]"
Orlando Magic,Oklahoma City Thunder,-9,"[-81.3792365 28.5383355, 0]","[-97.5164276 35.4675602, 0]"
San Antonio Spurs,Phoenix Suns,2,"[-98.4936282 29.4241219, 0]","[-112.0740373 33.4483771, 0]"
Boston Celtics,Charlotte Hornets,32,"[-71.0588801 42.3600825, 0]","[-80.8431267 35.2270869, 0]"
Miami Heat,Chicago Bulls,-16,"[-80.1917902 25.7616798, 0]","[-87.6297982 41.8781136, 0]"
Minnesota Timberwolves,Memphis Grizzlies,2,"[-94.6858998 46.729553, 0]","[-90.0489801 35.1495343, 0]"
New Orleans Pelicans,Denver Nuggets,-6,"[-90.0715323 29.9510658, 0]","[-104.990251 39.7392358, 0]"
New York Knicks,Dallas Mavericks,-24,"[-74.0059728 40.7127753, 0]","[-96.7969879 32.7766642, 0]"
Portland Trail Blazers,Utah Jazz,27,"[-122.6750261 45.5051064, 0]","[-111.0937311 39.3209801, 0]"
Sacramento Kings,Atlanta Hawks,22,"[-121.4943996 38.5815719, 0]","[-84.3879824 33.7489954, 0]"
Washington Wizards,Indiana Pacers,18,"[-77.0368707 38.9071923, 0]","[-86.1349019 40.2671941, 0]"
Detroit Pistons,Dallas Mavericks,4,"[-83.0457538 42.331427, 0]","[-96.7969879 32.7766642, 0]"
Golden State Warriors,Philadelphia 76ers,-9,"[-122.4194155 37.7749295, 0]","[-75.1652215 39.9525839, 0]"
Los Angeles Clippers,Los Angeles Lakers,-3,"[-118.2436849 34.0522342, 0]","[-118.2436849 34.0522342, 0]"
Orlando Magic,Indiana Pacers,7,"[-81.3792365 28.5383355, 0]","[-86.1349019 40.2671941, 0]"
San Antonio Spurs,Brooklyn Nets,3,"[-98.4936282 29.4241219, 0]","[-73.9441579 40.6781784, 0]"
Toronto Raptors,Milwaukee Bucks,-13,"[-79.3831843 43.653226, 0]","[-87.9064736 43.0389025, 0]"
Charlotte Hornets,Memphis Grizzlies,8,"[-80.8431267 35.2270869, 0]","[-90.0489801 35.1495343, 0]"
Denver Nuggets,Houston Rockets,14,"[-104.990251 39.7392358, 0]","[-95.3698028 29.7604267, 0]"
Miami Heat,Oklahoma City Thunder,-16,"[-80.1917902 25.7616798, 0]","[-97.5164276 35.4675602, 0]"
New York Knicks,Boston Celtics,-14,"[-74.0059728 40.7127753, 0]","[-71.0588801 42.3600825, 0]"
Utah Jazz,Atlanta Hawks,16,"[-111.0937311 39.3209801, 0]","[-84.3879824 33.7489954, 0]"
Charlotte Hornets,Chicago Bulls,7,"[-80.8431267 35.2270869, 0]","[-87.6297982 41.8781136, 0]"
Cleveland Cavaliers,Dallas Mavericks,-13,"[-81.6943605 41.49932, 0]","[-96.7969879 32.7766642, 0]"
Detroit Pistons,Los Angeles Clippers,-10,"[-83.0457538 42.331427, 0]","[-118.2436849 34.0522342, 0]"
Golden State Warriors,Los Angeles Lakers,14,"[-122.4194155 37.7749295, 0]","[-118.2436849 34.0522342, 0]"
Miami Heat,Indiana Pacers,-7,"[-80.1917902 25.7616798, 0]","[-86.1349019 40.2671941, 0]"
Minnesota Timberwolves,Denver Nuggets,-1,"[-94.6858998 46.729553, 0]","[-104.990251 39.7392358, 0]"
Orlando Magic,Brooklyn Nets,13,"[-81.3792365 28.5383355, 0]","[-73.9441579 40.6781784, 0]"
Phoenix Suns,Atlanta Hawks,-6,"[-112.0740373 33.4483771, 0]","[-84.3879824 33.7489954, 0]"
Sacramento Kings,Philadelphia 76ers,7,"[-121.4943996 38.5815719, 0]","[-75.1652215 39.9525839, 0]"
San Antonio Spurs,New Orleans Pelicans,5,"[-98.4936282 29.4241219, 0]","[-90.0715323 29.9510658, 0]"
Utah Jazz,Houston Rockets,-27,"[-111.0937311 39.3209801, 0]","[-95.3698028 29.7604267, 0]"
Washington Wizards,Milwaukee Bucks,-16,"[-77.0368707 38.9071923, 0]","[-87.9064736 43.0389025, 0]"
Boston Celtics,Oklahoma City Thunder,5,"[-71.0588801 42.3600825, 0]","[-97.5164276 35.4675602, 0]"
New York Knicks,Memphis Grizzlies,-12,"[-74.0059728 40.7127753, 0]","[-90.0489801 35.1495343, 0]"
Toronto Raptors,Los Angeles Clippers,18,"[-79.3831843 43.653226, 0]","[-118.2436849 34.0522342, 0]"
Brooklyn Nets,Milwaukee Bucks,-19,"[-73.9441579 40.6781784, 0]","[-87.9064736 43.0389025, 0]"
Detroit Pistons,Denver Nuggets,26,"[-83.0457538 42.331427, 0]","[-104.990251 39.7392358, 0]"
New Orleans Pelicans,Indiana Pacers,-2,"[-90.0715323 29.9510658, 0]","[-86.1349019 40.2671941, 0]"
Phoenix Suns,Houston Rockets,-8,"[-112.0740373 33.4483771, 0]","[-95.3698028 29.7604267, 0]"
Sacramento Kings,San Antonio Spurs,15,"[-121.4943996 38.5815719, 0]","[-98.4936282 29.4241219, 0]"
Washington Wizards,Atlanta Hawks,-8,"[-77.0368707 38.9071923, 0]","[-84.3879824 33.7489954, 0]"
Charlotte Hornets,Los Angeles Clippers,-2,"[-80.8431267 35.2270869, 0]","[-118.2436849 34.0522342, 0]"
Cleveland Cavaliers,Boston Celtics,-7,"[-81.6943605 41.49932, 0]","[-71.0588801 42.3600825, 0]"
Indiana Pacers,Los Angeles Lakers,42,"[-86.1349019 40.2671941, 0]","[-118.2436849 34.0522342, 0]"
Memphis Grizzlies,Minnesota Timberwolves,2,"[-90.0489801 35.1495343, 0]","[-94.6858998 46.729553, 0]"
New York Knicks,Detroit Pistons,-13,"[-74.0059728 40.7127753, 0]","[-83.0457538 42.331427, 0]"
Oklahoma City Thunder,Orlando Magic,10,"[-97.5164276 35.4675602, 0]","[-81.3792365 28.5383355, 0]"
Philadelphia 76ers,Toronto Raptors,-12,"[-75.1652215 39.9525839, 0]","[-79.3831843 43.653226, 0]"
Portland Trail Blazers,Miami Heat,-10,"[-122.6750261 45.5051064, 0]","[-80.1917902 25.7616798, 0]"
Brooklyn Nets,Denver Nuggets,5,"[-73.9441579 40.6781784, 0]","[-104.990251 39.7392358, 0]"
Chicago Bulls,New Orleans Pelicans,-5,"[-87.6297982 41.8781136, 0]","[-90.0715323 29.9510658, 0]"
Dallas Mavericks,Charlotte Hornets,6,"[-96.7969879 32.7766642, 0]","[-80.8431267 35.2270869, 0]"
Golden State Warriors,San Antonio Spurs,39,"[-122.4194155 37.7749295, 0]","[-98.4936282 29.4241219, 0]"
Milwaukee Bucks,Washington Wizards,19,"[-87.9064736 43.0389025, 0]","[-77.0368707 38.9071923, 0]"
Sacramento Kings,Houston Rockets,-26,"[-121.4943996 38.5815719, 0]","[-95.3698028 29.7604267, 0]"
Utah Jazz,Phoenix Suns,28,"[-111.0937311 39.3209801, 0]","[-112.0740373 33.4483771, 0]"
Atlanta Hawks,Toronto Raptors,-18,"[-84.3879824 33.7489954, 0]","[-79.3831843 43.653226, 0]"
Boston Celtics,Los Angeles Lakers,-1,"[-71.0588801 42.3600825, 0]","[-118.2436849 34.0522342, 0]"
Indiana Pacers,Los Angeles Clippers,24,"[-86.1349019 40.2671941, 0]","[-118.2436849 34.0522342, 0]"
Oklahoma City Thunder,Memphis Grizzlies,22,"[-97.5164276 35.4675602, 0]","[-90.0489801 35.1495343, 0]"
Orlando Magic,Minnesota Timberwolves,10,"[-81.3792365 28.5383355, 0]","[-94.6858998 46.729553, 0]"
Portland Trail Blazers,San Antonio Spurs,9,"[-122.6750261 45.5051064, 0]","[-98.4936282 29.4241219, 0]"
Brooklyn Nets,Chicago Bulls,-19,"[-73.9441579 40.6781784, 0]","[-87.6297982 41.8781136, 0]"
Dallas Mavericks,Milwaukee Bucks,-15,"[-96.7969879 32.7766642, 0]","[-87.9064736 43.0389025, 0]"
Detroit Pistons,New York Knicks,17,"[-83.0457538 42.331427, 0]","[-74.0059728 40.7127753, 0]"
New Orleans Pelicans,Minnesota Timberwolves,5,"[-90.0715323 29.9510658, 0]","[-94.6858998 46.729553, 0]"
Philadelphia 76ers,Denver Nuggets,7,"[-75.1652215 39.9525839, 0]","[-104.990251 39.7392358, 0]"
